id	topic_name	parent_topic	true_id
0	Natural Language Processing	0	1201
1	Introduction and Linguistics	0	1000
2	Language Modeling, Syntax, Parsing	0	1001
3	Semantics and Logic	0	1002
4	Pragmatics, Discourse, Dialogue, Applications	0	1003
5	Classification	0	1004
6	Information Retrieval and Topic Modeling	0	1005
7	Neural Networks and Deep Learning	0	1006
8	Artificial Intelligence	0	1007
9	Other Topics	0	1008
11	Introduction to NLP	1	1009
12	Mathematics	1	1010
13	Python	1	1011
14	Language and Linguistics	1	1012
15	NLP Tasks	1	1013
16	Theory of Computation	1	1014
17	Data Structures and Algorithms	1	1564
18	Mathematical Models	1	1202
21	Language Modeling	2	1015
22	Hidden Markov Models	2	1016
23	Part of Speech Tagging	2	1017
24	Syntax	2	1018
25	Parsing	2	1019
26	Unification	2	1020
27	NACLO Problems	2	1021
28	Parsing Issues	2	1022
31	Lexical Semantics	3	1023
32	Compositional Semantics	3	1024
33	Semantic Analysis	3	1025
34	Dimensionality Reduction	3	1026
35	Paraphrasing	3	1027
36	Logic and Knowledge Representation	3	1028
38	Sentiment	3	1029
39	Word Sense Disambiguation	3	1030
41	Question Answering	4	1031
42	Summarization	4	1032
43	Text Generation	4	1033
44	Discourse and Dialogue	4	1034
45	Machine Translation	4	1035
51	Introduction to Classification	5	1037
52	Support Vector Machines and Kernels	5	1038
54	Text Classification and Feature Selection	5	1039
57	Clustering	5	1041
58	Semi-supervised Learning	5	1563
61	Information Retrieval	6	1042
62	Document Ranking	6	1043
64	Network Analysis	6	1044
71	Deep Learning	7	1045
72	Introduction to Word Embeddings	7	1046
73	Deep Learning Tools	7	1047
74	Neural Networks	7	1048
75	Applications of Neural Networks	7	1049
81	Introduction to Artificial Intelligence	8	1561
82	Search	8	1565
83	Logic and Reasoning	8	1566
84	Uncertainty	8	1567
85	Learning	8	1568
86	Cognition and Perception	8	1569
87	Robotics and Autonomous Cars	8	1570
88	Other AI	8	1571
91	Recent Developments	9	1050
92	Lily Projects	9	1051
94	Phonetics and Speech	9	1539
99	Miscellaneous Topics	9	1265
101	Prerequisite Mathematics	0	1554
102	Statistics and Probability	0	1555
103	Linguistics	0	1556
104	Data Structures and Computer Science	0	1558
105	Programming	0	1560
106	Theory of Computation and Grammars	0	1557
107	Machine Learning	0	1559
111	Class Logistics	11	1580
112	Introduction	11	1052
113	History of NLP	11	1053
114	Why is NLP Hard?	11	1054
115	Methods used in NLP	11	1055
121	Linear Algebra 1	12	1056
122	Linear Algebra 2	12	1057
123	Probabilities 1	12	1058
124	Probabilities 2	12	1059
125	Bayes Theorem	12	1060
131	Python Basics	13	1063
132	NLTK	13	1064
133	NLP Resources	13	1065
134	Machine Learning Resources	13	1066
141	Linguistics Basics	14	1067
142	Parts of Speech	14	1068
143	Morphology and Lexicon	14	1069
144	Word Distributions	14	1070
151	NLP Tasks 1	15	1071
152	NLP Tasks 2	15	1072
153	Preprocessing	15	1073
154	Working with Corpora	15	1313
161	Regular Expressions	16	1074
162	Introduction to Finite State Machines	16	1075
163	Finite State Transducers	16	1076
165	Context-Free Grammars	16	1078
166	Language and Complexity	16	1079
167	Context-Sensitive Grammars	16	1080
171	Basic Data Structures and Algorithms	17	1314
172	Graph Theory	17	1315
173	Relational Databases	17	1316
181	Integer Linear Programming	18	1221
182	Spectral Methods	18	1264
183	Dual Decomposition	18	1223
184	Monte Carlo Methods	18	1317
185	Physics methods	18	1318
186	Bioinformatics Methods	18	1319
187	Optimization	18	1320
211	Introduction to Language Modeling	21	1081
212	Smoothing and Interpolation	21	1082
213	Evaluation of Language Modeling	21	1083
214	The Noisy Channel	21	1084
215	Introduction to Part of Speech Tagging	21	1085
221	Introduction to Hidden Markov Models	22	1086
222	Learning for Hidden Markov Models	22	1087
231	Statistical Part of Speech Tagging	23	1088
232	Information Extraction and Named Entity Recognition	23	1089
233	Relation Extraction	23	1090
234	Sequence Classification and Conditional Randomness	23	1091
241	Syntax Basics	24	1092
242	Parsing and Context-Free Grammars	24	1093
